0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:14:27 +0300] "GET /app/pacient1.jpg HTTP/1.1" 200 25519
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:14:27 +0300] "GET /app/assets/images/gallery/nature-6.jpg HTTP/1.1" 200 456433
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:14:27 +0300] "GET /app/js/plugins/jquery/jquery.min.js HTTP/1.1" 200 84245
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:14:27 +0300] "GET /app/js/plugins/jquery/jquery-ui.min.js HTTP/1.1" 200 114267
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:14:27 +0300] "GET /app/js/plugins/bootstrap/bootstrap.min.js HTTP/1.1" 200 34653
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:14:27 +0300] "GET /app/css/jquery/jquery-ui.min.css HTTP/1.1" 200 2087
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:14:27 +0300] "GET /app/css/bootstrap/bootstrap.min.css HTTP/1.1" 200 114011
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:14:27 +0300] "GET /app/js/plugins/mcustomscrollbar/jquery.mCustomScrollbar.min.js HTTP/1.1" 200 39153
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:14:27 +0300] "GET /app/js/plugins/icheck/icheck.min.js HTTP/1.1" 200 4931
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:14:27 +0300] "GET /app/css/fontawesome/font-awesome.min.css HTTP/1.1" 200 29063
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:14:27 +0300] "GET /app/js/plugins/blueimp/jquery.blueimp-gallery.min.js HTTP/1.1" 200 31568
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:14:27 +0300] "GET /app/css/mcustomscrollbar/jquery.mCustomScrollbar.css HTTP/1.1" 200 53721
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:14:27 +0300] "GET /app/css/summernote/summernote.css HTTP/1.1" 200 10425
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:14:27 +0300] "GET /app/css/codemirror/codemirror.css HTTP/1.1" 200 7067
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:14:27 +0300] "GET /app/css/nvd3/nv.d3.css HTTP/1.1" 200 12834
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:14:27 +0300] "GET /app/css/fullcalendar/fullcalendar.css HTTP/1.1" 200 10067
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:14:27 +0300] "GET /app/css/rickshaw/rickshaw.css HTTP/1.1" 200 7245
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:14:27 +0300] "GET /app/css/dropzone/dropzone.css HTTP/1.1" 200 11108
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:14:27 +0300] "GET /app/css/animate/animate.min.css HTTP/1.1" 200 57486
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:14:27 +0300] "GET /app/css/blueimp/blueimp-gallery.min.css HTTP/1.1" 200 6992
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:14:27 +0300] "GET /app/js/settings.js HTTP/1.1" 200 9642
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:14:27 +0300] "GET /app/js/plugins.js HTTP/1.1" 200 25837
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:14:27 +0300] "GET /app/js/actions.js HTTP/1.1" 200 18365
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:14:27 +0300] "GET /app/img/bg.png HTTP/1.1" 200 38993
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:14:27 +0300] "GET /app/css/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 200 71896
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:14:27 +0300] "GET /app/img/logo.png HTTP/1.1" 200 1799
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:14:27 +0300] "GET /app/assets/images/gallery/music-4.jpg HTTP/1.1" 200 107984
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:14:27 +0300] "GET /app/img/themes/default.jpg HTTP/1.1" 200 13144
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:14:27 +0300] "GET /app/img/themes/dark.jpg HTTP/1.1" 200 13145
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:14:27 +0300] "GET /app/img/themes/serenity.jpg HTTP/1.1" 200 13145
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:14:27 +0300] "GET /app/img/themes/default-head-light.jpg HTTP/1.1" 200 13742
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:14:27 +0300] "GET /app/img/themes/forest.jpg HTTP/1.1" 200 13144
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:14:27 +0300] "GET /app/img/themes/night.jpg HTTP/1.1" 200 13145
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:14:27 +0300] "GET /app/img/themes/serenity-head-light.jpg HTTP/1.1" 200 13666
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:14:27 +0300] "GET /app/img/themes/forest-head-light.jpg HTTP/1.1" 200 13654
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:14:27 +0300] "GET /app/img/themes/dark-head-light.jpg HTTP/1.1" 200 13656
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:14:27 +0300] "GET /app/img/themes/night-head-light.jpg HTTP/1.1" 200 13778
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:14:27 +0300] "GET /app/img/icheck/grey.png HTTP/1.1" 200 1142
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:14:28 +0300] "GET /app/favicon.ico HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:14:31 +0300] "GET /app/pacient.jsp?id=2 HTTP/1.1" 200 17595
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:14:31 +0300] "GET /app/css/theme-default.css HTTP/1.1" 200 170286
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:14:31 +0300] "GET /app/profile1.jpg HTTP/1.1" 200 27826
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:14:31 +0300] "GET /app/pacient2.jpg HTTP/1.1" 200 8295
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:14:31 +0300] "GET /app/pacient1.jpg HTTP/1.1" 200 25519
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:14:31 +0300] "GET /app/js/plugins/jquery/jquery.min.js HTTP/1.1" 200 84245
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:14:31 +0300] "GET /app/js/plugins/jquery/jquery-ui.min.js HTTP/1.1" 200 114267
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:14:31 +0300] "GET /app/assets/images/gallery/nature-6.jpg HTTP/1.1" 200 456433
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:14:31 +0300] "GET /app/js/plugins/bootstrap/bootstrap.min.js HTTP/1.1" 200 34653
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:14:31 +0300] "GET /app/css/bootstrap/bootstrap.min.css HTTP/1.1" 200 114011
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:14:31 +0300] "GET /app/css/jquery/jquery-ui.min.css HTTP/1.1" 200 2087
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:14:31 +0300] "GET /app/css/summernote/summernote.css HTTP/1.1" 200 10425
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:14:31 +0300] "GET /app/css/fontawesome/font-awesome.min.css HTTP/1.1" 200 29063
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:14:31 +0300] "GET /app/css/codemirror/codemirror.css HTTP/1.1" 200 7067
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:14:31 +0300] "GET /app/css/mcustomscrollbar/jquery.mCustomScrollbar.css HTTP/1.1" 200 53721
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:14:31 +0300] "GET /app/css/nvd3/nv.d3.css HTTP/1.1" 200 12834
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:14:31 +0300] "GET /app/css/fullcalendar/fullcalendar.css HTTP/1.1" 200 10067
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:14:31 +0300] "GET /app/css/rickshaw/rickshaw.css HTTP/1.1" 200 7245
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:14:31 +0300] "GET /app/css/blueimp/blueimp-gallery.min.css HTTP/1.1" 200 6992
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:14:31 +0300] "GET /app/css/animate/animate.min.css HTTP/1.1" 200 57486
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:14:31 +0300] "GET /app/css/dropzone/dropzone.css HTTP/1.1" 200 11108
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:14:31 +0300] "GET /app/js/plugins/icheck/icheck.min.js HTTP/1.1" 200 4931
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:14:31 +0300] "GET /app/js/plugins/mcustomscrollbar/jquery.mCustomScrollbar.min.js HTTP/1.1" 200 39153
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:14:31 +0300] "GET /app/js/plugins/blueimp/jquery.blueimp-gallery.min.js HTTP/1.1" 200 31568
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:14:31 +0300] "GET /app/js/actions.js HTTP/1.1" 200 18365
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:14:31 +0300] "GET /app/js/plugins.js HTTP/1.1" 200 25837
